id,retweet_count,favorite_count
795400264262053889,2943,10246
795076730285391872,5550,16497
794983741416415232,3449,0
794926597468000259,2364,10439
794355576146903043,10546,0
794332329137291264,2739,9751
794205286408003585,3390,9390
793962221541933056,5001,17138
793845145112371200,1912,9402
793614319594401792,3209,0
793601777308463104,1667,8130
793500921481273345,2430,10869
793286476301799424,9371,25054
793271401113350145,2447,8858
793256262322548741,8530,20330
793241302385262592,3372,10716
793226087023144960,2934,10021
793210959003287553,2859,9093
793195938047070209,5756,15570
793180763617361921,2047,7068
793165685325201412,2851,9576
793150605191548928,1740,6290
793135492858580992,2549,6551
793120401413079041,4007,12901
792913359805018113,4066,14594
792883833364439040,4364,11510
792773781206999040,1714,7488
792394556390137856,4393,13704
792050063153438720,1843,7285
791821351946420224,21553,0
791784077045166082,9809,0
791780927877898241,3905,0
791774931465953280,22691,45973
791672322847637504,3209,11962
791406955684368384,4210,13366
791312159183634433,2595,8951
791026214425268224,4191,0
790987426131050500,2181,10011
790946055508652032,4787,16944
790723298204217344,2362,0
790698755171364864,1970,8370
790581949425475584,7323,21032
790337589677002753,1921,7973
790277117346975746,3240,12788
790227638568808452,3646,0
789986466051088384,2362,9425
789960241177853952,4207,0
789903600034189313,4220,10539
789628658055020548,1808,7628
789599242079838210,1966,6884
789530877013393408,3449,11939
789314372632018944,2339,8801
789280767834746880,5051,0
789268448748703744,2658,9266
789137962068021249,2860,9892
788908386943430656,12735,27914
788765914992902144,10546,27842
788552643979468800,7329,0
788412144018661376,5380,15812
788178268662984705,2139,7353
788150585577050112,1312,6231
788070120937619456,3498,0
788039637453406209,1349,6237
787810552592695296,3113,8791
787717603741622272,2841,10435
787397959788929025,2898,11078
787322443945877504,1777,7917
787111942498508800,6881,0
786963064373534720,8134,27073
786729988674449408,2470,0
786709082849828864,6232,18561
786664955043049472,2609,10775
786595970293370880,3178,9592
786363235746385920,3579,11073
786286427768250368,2903,8102
786233965241827333,4837,15511
786051337297522688,158,1447
786036967502913536,7157,0
785927819176054784,3244,11583
785872687017132033,1851,6799
785639753186217984,2278,7968
785533386513321988,2034,9262
785515384317313025,1281,6206
785264754247995392,1674,7369
785170936622350336,4926,12219
784826020293709826,3305,10280
784517518371221505,2586,9112
784431430411685888,1291,5781
784183165795655680,8209,20403
784057939640352768,11326,30231
783839966405230592,10968,30509
783821107061198850,2005,7468
783695101801398276,3275,10622
783466772167098368,2288,8585
